"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JINDALSTEL","EQ","21-May-2020","         94.95","         94.95","         99.10","         94.15","         97.45","         98.00","         97.06","   23227274","          2254425912.95","      77454","    3153474","         13.58"
"JINDALSTEL","EQ","22-May-2020","         98.00","         96.80","         99.00","         92.90","         98.95","         96.60","         95.04","   19186991","          1823572771.95","      67917","    1973274","         10.28"
"JINDALSTEL","EQ","26-May-2020","         96.60","        100.20","        110.85","         99.10","        109.95","        109.15","        105.57","   57513757","          6071929431.15","     229120","    6010457","         10.45"
"JINDALSTEL","EQ","27-May-2020","        109.15","        109.15","        116.35","        106.50","        114.65","        115.05","        110.20","   37506243","          4133330502.05","     143226","    3207717","          8.55"
"JINDALSTEL","EQ","28-May-2020","        115.05","        115.05","        120.75","        113.80","        120.10","        119.10","        118.53","   28096868","          3330385416.35","     111579","    4156358","         14.79"
"JINDALSTEL","EQ","29-May-2020","        119.10","        116.10","        122.40","        115.25","        121.20","        121.55","        119.57","   22712017","          2715721191.25","      91833","    1689056","          7.44"
"JINDALSTEL","EQ","01-Jun-2020","        121.55","        123.20","        131.85","        123.15","        129.00","        129.60","        128.78","   25817509","          3324762549.80","      99006","    3504694","         13.57"
"JINDALSTEL","EQ","02-Jun-2020","        129.60","        129.60","        131.30","        127.00","        128.90","        129.30","        129.27","   20594390","          2662318959.20","      84534","    1837591","          8.92"
"JINDALSTEL","EQ","03-Jun-2020","        129.30","        131.00","        132.90","        126.00","        127.50","        127.40","        130.12","   14628700","          1903417923.65","      58557","    2621914","         17.92"
"JINDALSTEL","EQ","04-Jun-2020","        127.40","        129.50","        138.60","        129.00","        137.80","        137.05","        134.61","   37112550","          4995572764.10","     167670","    2663304","          7.18"
"JINDALSTEL","EQ","05-Jun-2020","        137.05","        138.95","        147.20","        138.35","        146.50","        145.45","        143.50","   34572646","          4961209262.85","     151767","    3638344","         10.52"
"JINDALSTEL","EQ","08-Jun-2020","        145.45","        149.45","        150.85","        142.05","        143.90","        143.70","        145.89","   21469702","          3132263736.40","      94337","    4905020","         22.85"
"JINDALSTEL","EQ","09-Jun-2020","        143.70","        144.70","        149.00","        142.20","        142.95","        144.20","        146.05","   17744119","          2591562268.15","      83567","    1799252","         10.14"
"JINDALSTEL","EQ","10-Jun-2020","        144.20","        142.50","        145.15","        140.50","        141.60","        142.25","        142.72","   11736385","          1674968760.75","      75644","    1622060","         13.82"
"JINDALSTEL","EQ","11-Jun-2020","        142.25","        142.00","        147.95","        139.40","        140.40","        141.00","        144.90","   13322128","          1930383107.45","      77887","    3314207","         24.88"
"JINDALSTEL","EQ","12-Jun-2020","        141.00","        131.25","        143.00","        131.20","        142.25","        141.65","        137.90","    9828008","          1355306408.45","      60316","    1794773","         18.26"
"JINDALSTEL","EQ","15-Jun-2020","        141.65","        142.70","        143.30","        135.10","        135.50","        135.90","        138.32","   13178170","          1822865964.35","      68181","    2049147","         15.55"
"JINDALSTEL","EQ","16-Jun-2020","        135.90","        139.50","        146.75","        138.15","        142.30","        143.50","        143.26","   28554167","          4090780081.05","     133944","    4601893","         16.12"
"JINDALSTEL","EQ","17-Jun-2020","        143.50","        142.15","        142.15","        139.00","        139.10","        140.00","        140.53","    7375628","          1036529159.15","      47849","    1049494","         14.23"
"JINDALSTEL","EQ","18-Jun-2020","        140.00","        138.55","        145.95","        138.55","        143.75","        145.15","        143.09","   11223999","          1606097754.05","      70722","    2156586","         19.21"
"JINDALSTEL","EQ","19-Jun-2020","        145.15","        146.05","        148.05","        143.60","        145.20","        145.70","        145.86","    6879079","          1003400576.95","      39326","    1548127","         22.50"
"JINDALSTEL","EQ","22-Jun-2020","        145.70","        146.00","        146.25","        143.00","        144.30","        144.40","        144.53","    5207599","           752645048.15","      38661","    1055484","         20.27"
"JINDALSTEL","EQ","23-Jun-2020","        144.40","        145.00","        148.20","        144.65","        146.40","        146.25","        146.37","    7806779","          1142680802.90","      45381","    1389161","         31.11"
"JINDALSTEL","EQ","24-Jun-2020","        146.25","        149.00","        158.35","        147.40","        148.55","        148.45","        153.09","   30135849","          4613626450.80","     151364","    3996988","         13.26"
"JINDALSTEL","EQ","25-Jun-2020","        148.45","        146.00","        151.80","        144.25","        149.50","        149.80","        148.68","   10313930","          1533520537.00","      51009","    1752214","         16.99"
"JINDALSTEL","EQ","26-Jun-2020","        149.80","        151.30","        157.50","        151.00","        153.75","        153.20","        154.62","   16035209","          2479399793.60","      82241","    2253013","         14.05"
"JINDALSTEL","EQ","29-Jun-2020","        153.20","        152.00","        158.05","        148.75","        154.55","        153.05","        152.11","   15681531","          2385343838.85","      63768","    2109455","         13.45"
"JINDALSTEL","EQ","30-Jun-2020","        153.05","        156.00","        164.90","        155.05","        161.50","        161.50","        160.39","   37243244","          5973499254.90","     160914","    6388360","         17.15"
"JINDALSTEL","EQ","01-Jul-2020","        161.50","        163.00","        163.25","        152.15","        153.75","        153.75","        155.66","   22521300","          3505565415.60","     115563","    3321982","         14.75"
"JINDALSTEL","EQ","02-Jul-2020","        153.75","        155.30","        157.20","        153.20","        154.20","        154.10","        154.97","   11241342","          1742090881.25","      57230","    1199591","         10.67"
"JINDALSTEL","EQ","03-Jul-2020","        154.10","        155.25","        156.90","        152.85","        153.45","        153.70","        154.70","    8417786","          1302258064.20","      40975","    1039240","         12.35"
"JINDALSTEL","EQ","06-Jul-2020","        153.70","        156.00","        160.20","        154.10","        156.90","        156.95","        157.35","   15574972","          2450654494.95","      75519","    2221012","         14.26"
"JINDALSTEL","EQ","07-Jul-2020","        156.95","        157.80","        158.15","        152.80","        155.70","        155.60","        155.22","   10930287","          1696597988.25","      67050","    2105428","         19.26"
"JINDALSTEL","EQ","08-Jul-2020","        155.60","        156.60","        162.80","        155.50","        155.80","        156.25","        158.28","   19083768","          3020484207.70","      89191","    2391082","         12.53"
"JINDALSTEL","EQ","09-Jul-2020","        156.25","        158.00","        166.10","        157.90","        164.50","        164.05","        163.05","   21301023","          3473180196.50","      92996","    3879215","         18.21"
"JINDALSTEL","EQ","10-Jul-2020","        164.05","        162.05","        170.00","        160.40","        168.80","        169.15","        165.58","   20684895","          3424990336.10","      83250","    3203448","         15.49"
"JINDALSTEL","EQ","13-Jul-2020","        169.15","        170.50","        172.80","        168.25","        169.65","        170.10","        170.58","   16663165","          2842367914.00","      76660","    1729958","         10.38"
"JINDALSTEL","EQ","14-Jul-2020","        170.10","        168.90","        168.90","        164.30","        165.10","        165.70","        166.07","    9931783","          1649340518.65","      47558","     965516","          9.72"
"JINDALSTEL","EQ","15-Jul-2020","        165.70","        167.80","        172.75","        165.45","        167.15","        166.40","        170.09","   14381282","          2446137165.90","      84494","    1849223","         12.86"
"JINDALSTEL","EQ","16-Jul-2020","        166.40","        167.70","        178.25","        164.55","        176.75","        177.00","        172.25","   20601984","          3548783923.60","     109536","    2680542","         13.01"
"JINDALSTEL","EQ","17-Jul-2020","        177.00","        179.40","        181.90","        174.75","        176.30","        176.75","        178.80","   21877860","          3911843019.10","     120194","    3537700","         16.17"
"JINDALSTEL","EQ","20-Jul-2020","        176.75","        177.00","        179.30","        174.00","        178.00","        177.65","        176.63","    8440254","          1490817400.35","      43938","     731380","          8.67"
"JINDALSTEL","EQ","21-Jul-2020","        177.65","        179.90","        180.40","        174.60","        179.00","        178.60","        177.22","   14472280","          2564734478.60","     100081","    4529019","         31.29"
"JINDALSTEL","EQ","22-Jul-2020","        178.60","        179.80","        181.25","        168.65","        172.65","        173.40","        176.95","   24764376","          4382130378.20","     148023","    5076513","         20.50"
"JINDALSTEL","EQ","23-Jul-2020","        173.40","        174.40","        175.90","        170.00","        171.50","        171.75","        172.94","    8098624","          1400567312.75","      50154","    2087704","         25.78"
"JINDALSTEL","EQ","24-Jul-2020","        171.75","        170.70","        170.85","        165.60","        168.50","        167.75","        167.73","    7153977","          1199917559.25","      49051","    2209258","         30.88"
"JINDALSTEL","EQ","27-Jul-2020","        167.75","        169.40","        178.40","        168.30","        176.85","        176.95","        175.07","   20564283","          3600237750.30","      98529","    3793730","         18.45"
"JINDALSTEL","EQ","28-Jul-2020","        176.95","        177.25","        184.00","        175.30","        182.05","        183.30","        181.52","   18461777","          3351252429.45","     104438","    3037882","         16.45"
"JINDALSTEL","EQ","29-Jul-2020","        183.30","        182.00","        185.95","        180.50","        183.85","        184.25","        183.76","   13692592","          2516146583.05","      84832","    2224754","         16.25"
"JINDALSTEL","EQ","30-Jul-2020","        184.25","        184.25","        186.80","        178.85","        182.00","        182.55","        183.48","   10843056","          1989521374.65","      55363","    2020458","         18.63"
"JINDALSTEL","EQ","31-Jul-2020","        182.55","        182.10","        186.30","        180.75","        185.00","        184.85","        184.37","   12166469","          2243096826.55","      69324","    1248831","         10.26"
"JINDALSTEL","EQ","03-Aug-2020","        184.85","        185.50","        191.25","        183.60","        190.75","        190.80","        188.64","   12705394","          2396734591.40","      90703","    1936375","         15.24"
"JINDALSTEL","EQ","04-Aug-2020","        190.80","        192.00","        195.80","        190.50","        194.00","        194.20","        193.32","   14977662","          2895495490.10","      96980","    1604262","         10.71"
"JINDALSTEL","EQ","05-Aug-2020","        194.20","        196.00","        199.95","        195.00","        197.50","        197.40","        197.89","   11635532","          2302533421.15","      51185","    1096558","          9.42"
"JINDALSTEL","EQ","06-Aug-2020","        197.40","        198.40","        199.20","        194.40","        197.20","        196.80","        196.91","   10524483","          2072324049.40","      60793","    1251911","         11.90"
"JINDALSTEL","EQ","07-Aug-2020","        196.80","        196.80","        201.00","        195.25","        198.05","        199.40","        199.01","   10206972","          2031270331.70","      51299","    1025008","         10.04"
"JINDALSTEL","EQ","10-Aug-2020","        199.40","        200.00","        204.00","        196.80","        201.10","        201.60","        200.05","   13127160","          2626092374.75","      83749","    1136689","          8.66"
"JINDALSTEL","EQ","11-Aug-2020","        201.60","        202.50","        216.75","        202.00","        211.20","        211.05","        211.39","   26591658","          5621258295.40","     124894","    2983951","         11.22"
"JINDALSTEL","EQ","12-Aug-2020","        211.05","        209.00","        210.60","        203.80","        209.30","        209.15","        208.16","   11486532","          2391092941.85","      56910","    1969658","         17.15"
"JINDALSTEL","EQ","13-Aug-2020","        209.15","        210.20","        214.50","        209.30","        213.15","        213.10","        212.81","   11508593","          2449094065.60","      87743","    2133408","         18.54"
"JINDALSTEL","EQ","14-Aug-2020","        213.10","        213.50","        222.40","        208.25","        211.70","        212.05","        215.53","   23202400","          5000698445.10","     106226","    2388729","         10.30"
"JINDALSTEL","EQ","17-Aug-2020","        212.05","        215.00","        225.35","        213.15","        223.00","        223.60","        220.00","   23051750","          5071479181.35","     111998","    3353238","         14.55"
"JINDALSTEL","EQ","18-Aug-2020","        223.60","        225.40","        225.95","        221.55","        225.80","        224.90","        223.87","    7369260","          1649784942.10","      49882","    2050810","         27.83"
"JINDALSTEL","EQ","19-Aug-2020","        224.90","        226.00","        228.95","        225.10","        227.30","        227.40","        226.91","    6277138","          1424332106.40","      48680","    1987367","         31.66"
"JINDALSTEL","EQ","20-Aug-2020","        227.40","        224.45","        238.75","        223.40","        234.80","        234.85","        233.86","   14579720","          3409657607.35","      76678","    3399822","         23.32"
"JINDALSTEL","EQ","21-Aug-2020","        234.85","        236.80","        238.40","        222.10","        225.00","        223.60","        229.48","   16190048","          3715331305.60","     132916","    5600662","         34.59"
"JINDALSTEL","EQ","24-Aug-2020","        223.60","        226.45","        230.65","        223.60","        224.90","        225.80","        226.34","   14009011","          3170759092.50","      69769","    4057282","         28.96"
