"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TVSMOTOR","EQ","23-Jul-2020","        397.85","        398.75","        408.65","        395.85","        407.25","        405.75","        403.33","    2166455","           873796367.25","      24464","     342691","         15.82"
"TVSMOTOR","EQ","24-Jul-2020","        405.75","        403.00","        404.55","        395.00","        397.40","        398.15","        400.00","    1473770","           589515094.15","      15316","     460201","         31.23"
"TVSMOTOR","EQ","27-Jul-2020","        398.15","        398.15","        400.20","        390.60","        398.05","        397.10","        395.46","     883920","           349552295.65","      11400","     134226","         15.19"
"TVSMOTOR","EQ","28-Jul-2020","        397.10","        397.00","        409.00","        395.40","        405.35","        406.25","        405.55","    2396715","           971978527.45","      28076","     561760","         23.44"
"TVSMOTOR","EQ","29-Jul-2020","        406.25","        406.00","        414.50","        397.45","        401.50","        402.95","        407.44","    2809299","          1144626799.95","      40235","     574212","         20.44"
"TVSMOTOR","EQ","30-Jul-2020","        402.95","        398.00","        407.90","        383.70","        405.40","        402.15","        398.93","    6072262","          2422435460.05","      61700","     971009","         15.99"
"TVSMOTOR","EQ","31-Jul-2020","        402.15","        404.65","        405.95","        385.00","        389.00","        387.50","        395.20","    2415056","           954421707.55","      29876","     607760","         25.17"
"TVSMOTOR","EQ","03-Aug-2020","        387.50","        392.00","        399.15","        388.05","        397.35","        396.20","        394.44","    4124285","          1626793105.60","      42472","     855820","         20.75"
"TVSMOTOR","EQ","04-Aug-2020","        396.20","        397.35","        404.20","        391.75","        399.50","        398.95","        398.96","    2926555","          1167575074.10","      37931","     615772","         21.04"
"TVSMOTOR","EQ","05-Aug-2020","        398.95","        404.80","        412.00","        400.15","        411.55","        409.35","        407.62","    2215778","           903195569.05","      35117","     325197","         14.68"
"TVSMOTOR","EQ","06-Aug-2020","        409.35","        415.00","        422.00","        403.45","        421.70","        418.85","        412.28","    3667202","          1511899415.30","      46900","     410159","         11.18"
"TVSMOTOR","EQ","07-Aug-2020","        418.85","        419.00","        429.90","        415.15","        421.15","        421.50","        424.41","    5894380","          2501629564.45","      80727","     603055","         10.23"
"TVSMOTOR","EQ","10-Aug-2020","        421.50","        425.00","        426.95","        415.20","        418.35","        418.65","        421.17","    2082987","           877282061.00","      42334","     199619","          9.58"
"TVSMOTOR","EQ","11-Aug-2020","        418.65","        419.20","        424.00","        413.15","        416.50","        416.90","        416.88","    2206472","           919845010.05","      27738","     859137","         38.94"
"TVSMOTOR","EQ","12-Aug-2020","        416.90","        416.70","        422.80","        409.05","        418.00","        417.65","        418.76","    3892666","          1630100366.85","      49819","     827688","         21.26"
"TVSMOTOR","EQ","13-Aug-2020","        417.65","        421.30","        436.40","        418.00","        429.50","        430.10","        428.33","    5840862","          2501844257.85","      70420","     902271","         15.45"
"TVSMOTOR","EQ","14-Aug-2020","        430.10","        432.00","        434.40","        415.60","        417.05","        418.10","        423.64","    2673256","          1132509977.05","      33613","     412498","         15.43"
"TVSMOTOR","EQ","17-Aug-2020","        418.10","        430.00","        430.00","        415.05","        425.65","        426.80","        424.81","    2228221","           946563397.60","      29034","     263212","         11.81"
"TVSMOTOR","EQ","18-Aug-2020","        426.80","        426.50","        435.95","        423.70","        435.75","        433.40","        431.04","    2196026","           946581471.30","      26959","     309013","         14.07"
"TVSMOTOR","EQ","19-Aug-2020","        433.40","        435.00","        442.20","        433.00","        435.00","        434.65","        436.90","    1802766","           787633284.20","      23796","     357776","         19.85"
"TVSMOTOR","EQ","20-Aug-2020","        434.65","        431.55","        452.95","        427.55","        450.00","        450.05","        443.61","    3305887","          1466512243.35","      42723","     475483","         14.38"
"TVSMOTOR","EQ","21-Aug-2020","        450.05","        452.55","        461.50","        446.75","        452.65","        453.30","        453.28","    3250392","          1473331710.45","      40112","     352355","         10.84"
"TVSMOTOR","EQ","24-Aug-2020","        453.30","        456.00","        456.00","        447.15","        447.80","        448.80","        451.43","    2651967","          1197174185.50","      30139","     670009","         25.26"
