"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JSWSTEEL","EQ","24-Mar-2020","        144.40","        149.25","        155.00","        140.35","        148.00","        147.10","        146.69","    6487043","           951577728.15","      60942","    1980527","         30.53"
"JSWSTEEL","EQ","25-Mar-2020","        147.10","        145.00","        156.00","        142.55","        146.55","        151.80","        151.16","    4384700","           662787382.60","      47879","     866502","         19.76"
"JSWSTEEL","EQ","26-Mar-2020","        151.80","        151.00","        157.45","        144.50","        149.90","        149.80","        151.23","    8021131","          1213047237.70","      60005","    1846565","         23.02"
"JSWSTEEL","EQ","27-Mar-2020","        149.80","        152.10","        156.45","        146.20","        151.30","        151.45","        151.14","    6108830","           923287774.90","      46663","    1274758","         20.87"
"JSWSTEEL","EQ","30-Mar-2020","        151.45","        148.45","        148.45","        136.50","        142.35","        142.40","        140.93","   11851157","          1670173777.70","      84472","    3603123","         30.40"
"JSWSTEEL","EQ","31-Mar-2020","        142.40","        145.95","        152.40","        144.50","        145.60","        146.25","        147.56","    9965197","          1470481760.30","      76992","    2098672","         21.06"
"JSWSTEEL","EQ","01-Apr-2020","        146.25","        145.95","        145.95","        139.05","        143.00","        143.00","        141.68","    5967565","           845501114.10","      55798","    1128427","         18.91"
"JSWSTEEL","EQ","03-Apr-2020","        143.00","        143.25","        148.15","        132.50","        143.00","        140.70","        137.91","   18559602","          2559520293.10","     150511","    5511899","         29.70"
"JSWSTEEL","EQ","07-Apr-2020","        140.70","        148.05","        159.85","        145.45","        157.70","        158.10","        153.83","   16440328","          2529038554.75","     109248","    3091328","         18.80"
"JSWSTEEL","EQ","08-Apr-2020","        158.10","        155.00","        170.75","        152.15","        154.20","        154.60","        160.77","   15245833","          2451026258.10","      99848","    3296202","         21.62"
"JSWSTEEL","EQ","09-Apr-2020","        154.60","        159.00","        170.00","        158.00","        165.45","        166.30","        165.49","   15243084","          2522584524.75","     103537","    2376234","         15.59"
"JSWSTEEL","EQ","13-Apr-2020","        166.30","        167.50","        172.40","        161.15","        167.65","        167.65","        166.63","   11554655","          1925345724.25","      91293","    2747192","         23.78"
"JSWSTEEL","EQ","15-Apr-2020","        167.65","        170.00","        174.95","        165.85","        172.20","        171.40","        171.15","   17616485","          3015095883.55","     110097","    6468205","         36.72"
"JSWSTEEL","EQ","16-Apr-2020","        171.40","        169.30","        174.60","        167.40","        170.25","        170.65","        172.13","   10428942","          1795152424.95","      60409","    1904903","         18.27"
"JSWSTEEL","EQ","17-Apr-2020","        170.65","        175.00","        179.85","        170.35","        178.75","        177.30","        174.11","   10104852","          1759349838.00","      59940","    2618168","         25.91"
"JSWSTEEL","EQ","20-Apr-2020","        177.30","        183.00","        183.00","        166.10","        167.45","        167.50","        171.51","   12629035","          2166068212.25","      90158","    3080776","         24.39"
"JSWSTEEL","EQ","21-Apr-2020","        167.50","        164.00","        164.40","        156.80","        159.40","        159.60","        159.29","   10887919","          1734287524.70","      90196","    1681579","         15.44"
"JSWSTEEL","EQ","22-Apr-2020","        159.60","        158.00","        163.00","        155.50","        162.45","        161.20","        159.09","    7765209","          1235362643.85","      58144","     836624","         10.77"
"JSWSTEEL","EQ","23-Apr-2020","        161.20","        162.40","        166.30","        158.70","        159.60","        159.95","        163.08","    7114946","          1160319759.55","      56063","    1001212","         14.07"
"JSWSTEEL","EQ","24-Apr-2020","        159.95","        157.50","        159.50","        152.60","        153.85","        153.25","        156.26","    8447036","          1319923579.35","      64490","    1924867","         22.79"
"JSWSTEEL","EQ","27-Apr-2020","        153.25","        156.00","        160.65","        155.00","        156.90","        157.30","        158.44","    9745004","          1544003082.80","      63946","    1772914","         18.19"
"JSWSTEEL","EQ","28-Apr-2020","        157.30","        159.40","        160.30","        157.00","        159.90","        159.40","        159.00","    8025743","          1276084433.90","      49203","    1332920","         16.61"
"JSWSTEEL","EQ","29-Apr-2020","        159.40","        160.80","        166.40","        159.00","        163.55","        164.10","        164.21","   11842945","          1944674555.15","      77048","    1592928","         13.45"
"JSWSTEEL","EQ","30-Apr-2020","        164.10","        168.60","        188.70","        167.50","        182.00","        180.65","        174.34","   16023589","          2793616608.35","     102951","    4002394","         24.98"
"JSWSTEEL","EQ","04-May-2020","        180.65","        170.95","        170.95","        162.35","        163.00","        163.55","        164.76","   10646028","          1754059480.20","      78993","    4063560","         38.17"
"JSWSTEEL","EQ","05-May-2020","        163.55","        167.50","        171.65","        162.80","        163.85","        163.90","        167.78","   12995347","          2180411361.35","      97350","    2025474","         15.59"
"JSWSTEEL","EQ","06-May-2020","        163.90","        165.50","        169.30","        163.15","        166.30","        165.80","        166.47","    8720744","          1451755354.00","      59014","    1124223","         12.89"
"JSWSTEEL","EQ","07-May-2020","        165.80","        164.20","        174.00","        162.50","        172.50","        172.20","        169.25","   11944061","          2021520031.15","      85848","    3063976","         25.65"
