"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"MARUTI","EQ","26-Aug-2019","       6254.35","       6460.00","       6466.70","       6116.15","       6234.15","       6255.55","       6243.79","    1552155","          9691329741.00","     152471"
"MARUTI","EQ","27-Aug-2019","       6255.55","       6297.50","       6340.00","       6256.00","       6260.20","       6277.75","       6297.13","    1078065","          6788715373.95","     107538"
"MARUTI","EQ","28-Aug-2019","       6277.75","       6248.00","       6248.00","       6070.00","       6109.95","       6103.40","       6147.63","    1242304","          7637219530.50","     120487"
"MARUTI","EQ","29-Aug-2019","       6103.40","       6103.40","       6198.00","       6065.00","       6150.00","       6110.20","       6127.93","    1006756","          6169330665.55","      84377"
"MARUTI","EQ","30-Aug-2019","       6110.20","       6144.00","       6159.25","       6052.90","       6108.35","       6123.75","       6111.18","     794518","          4855445233.15","      81325"
"MARUTI","EQ","03-Sep-2019","       6123.75","       6035.00","       6130.00","       6002.25","       6049.70","       6049.70","       6064.24","    1173373","          7115611551.35","      99898"
"MARUTI","EQ","04-Sep-2019","       6049.70","       6062.00","       6076.20","       5800.00","       5805.20","       5830.75","       5892.04","    1964992","         11577805367.15","     161677"
"MARUTI","EQ","05-Sep-2019","       5830.75","       5805.00","       5998.00","       5791.25","       5977.40","       5968.65","       5910.61","    1149196","          6792446704.90","      98164"
"MARUTI","EQ","06-Sep-2019","       5968.65","       5997.70","       6220.00","       5962.10","       6199.90","       6186.95","       6092.33","    1524051","          9285017702.30","     140253"
"MARUTI","EQ","09-Sep-2019","       6186.95","       6085.00","       6366.95","       6040.00","       6355.05","       6335.50","       6220.02","    2061193","         12820659102.80","     177089"
"MARUTI","EQ","11-Sep-2019","       6335.50","       6330.00","       6630.00","       6285.10","       6580.00","       6597.30","       6500.22","    2492039","         16198807339.70","     197737"
"MARUTI","EQ","12-Sep-2019","       6597.30","       6565.00","       6640.00","       6370.00","       6398.75","       6392.05","       6491.28","    1892862","         12287102494.45","     152225"
"MARUTI","EQ","13-Sep-2019","       6392.05","       6434.00","       6512.80","       6340.00","       6445.70","       6450.30","       6441.54","    1929801","         12430889061.80","     143210"
"MARUTI","EQ","16-Sep-2019","       6450.30","       6349.90","       6489.00","       6340.10","       6399.00","       6412.75","       6417.49","    1377371","          8839261359.35","     121546"
"MARUTI","EQ","17-Sep-2019","       6412.75","       6410.00","       6445.85","       6110.00","       6116.30","       6130.40","       6261.06","    1706567","         10684914766.20","     138251"
"MARUTI","EQ","18-Sep-2019","       6130.40","       6165.00","       6211.80","       5986.60","       6105.00","       6095.05","       6083.27","    1955137","         11893628117.15","     154690"
"MARUTI","EQ","19-Sep-2019","       6095.05","       6139.00","       6175.00","       5942.40","       5987.70","       5971.75","       6056.96","    1721431","         10426637456.05","     130046"
"MARUTI","EQ","20-Sep-2019","       5971.75","       6015.00","       6949.80","       5982.45","       6601.00","       6591.95","       6513.47","    4892962","         31870157868.40","     407715"
"MARUTI","EQ","23-Sep-2019","       6591.95","       6676.10","       7000.00","       6676.10","       6885.10","       6897.85","       6891.10","    3140286","         21640015382.95","     282219"
"MARUTI","EQ","24-Sep-2019","       6897.85","       6935.00","       7177.90","       6855.00","       7033.20","       7009.10","       6996.14","    2354230","         16470532686.50","     224403"
"MARUTI","EQ","25-Sep-2019","       7009.10","       7000.00","       7000.00","       6602.00","       6700.00","       6638.50","       6752.87","    2296343","         15506907735.30","     202225"
"MARUTI","EQ","26-Sep-2019","       6638.50","       6700.00","       6899.90","       6681.05","       6855.00","       6857.45","       6809.38","    1893865","         12896040085.80","     153357"
"MARUTI","EQ","27-Sep-2019","       6857.45","       6860.00","       6915.00","       6735.00","       6765.30","       6773.70","       6801.12","    1457894","          9915310112.10","     123866"
"MARUTI","EQ","30-Sep-2019","       6773.70","       6773.00","       6809.60","       6640.00","       6700.00","       6715.80","       6698.81","    1264165","          8468398992.15","      99286"
"MARUTI","EQ","01-Oct-2019","       6715.80","       6720.00","       6850.00","       6650.00","       6786.60","       6782.00","       6762.40","    1473158","          9962077964.40","     126618"
"MARUTI","EQ","03-Oct-2019","       6782.00","       6786.60","       6794.95","       6680.00","       6743.10","       6754.05","       6733.72","     850852","          5729402012.60","      89067"
"MARUTI","EQ","04-Oct-2019","       6754.05","       6793.00","       6845.90","       6618.40","       6645.95","       6649.60","       6762.15","    1065056","          7202067211.75","      93392"
"MARUTI","EQ","07-Oct-2019","       6649.60","       6674.70","       6699.00","       6558.15","       6639.00","       6629.85","       6636.21","     696713","          4623534607.75","      68054"
"MARUTI","EQ","09-Oct-2019","       6629.85","       6628.00","       6743.80","       6590.00","       6730.00","       6719.55","       6691.03","    1017731","          6809664534.60","      83048"
"MARUTI","EQ","10-Oct-2019","       6719.55","       6700.00","       6742.10","       6558.25","       6624.00","       6605.45","       6639.63","     985523","          6543513002.35","      80370"
"MARUTI","EQ","11-Oct-2019","       6605.45","       6626.30","       6720.00","       6626.30","       6692.80","       6698.90","       6681.63","     835065","          5579596060.40","      63691"
"MARUTI","EQ","14-Oct-2019","       6698.90","       6697.95","       6874.55","       6696.05","       6805.40","       6821.10","       6774.60","     963217","          6525412654.00","      72532"
"MARUTI","EQ","15-Oct-2019","       6821.10","       6811.00","       7019.00","       6809.00","       6995.00","       6985.75","       6951.84","    1276061","          8870978185.20","      98230"
"MARUTI","EQ","16-Oct-2019","       6985.75","       7003.45","       7013.90","       6895.00","       6977.00","       6975.00","       6958.16","     876844","          6101225216.15","      84164"
"MARUTI","EQ","17-Oct-2019","       6975.00","       6977.00","       7155.55","       6940.00","       7126.00","       7123.90","       7027.01","    1248295","          8771779630.85","      89325"
"MARUTI","EQ","18-Oct-2019","       7123.90","       7081.30","       7450.00","       7061.65","       7350.00","       7302.30","       7225.40","    1463126","         10571673041.45","     114860"
"MARUTI","EQ","22-Oct-2019","       7302.30","       7333.00","       7392.00","       7232.00","       7262.25","       7256.25","       7313.80","     959552","          7017969456.70","      90739"
"MARUTI","EQ","23-Oct-2019","       7256.25","       7201.05","       7472.00","       7200.00","       7415.20","       7440.25","       7381.04","    1278695","          9438098512.75","     103063"
